iter	Passed	Remaining
409	4950	1086
410	4960	1074
411	4972	1062
412	4982	1049
413	4994	1037
414	5008	1025
415	5019	1013
416	5031	1001
417	5042	989
418	5053	976
419	5064	964
420	5074	952
421	5085	939
422	5100	928
423	5114	916
424	5124	904
425	5136	892
426	5146	879
427	5157	867
428	5170	855
429	5182	843
430	5194	831
431	5205	819
432	5217	807
433	5228	795
434	5239	782
435	5252	770
436	5267	759
437	5278	747
438	5290	735
439	5301	722
440	5312	710
441	5325	698
442	5335	686
443	5351	675
444	5363	662
445	5375	650
446	5389	639
447	5405	627
448	5416	615
449	5427	603
450	5439	590
451	5450	578
452	5463	566
453	5473	554
454	5484	542
455	5496	530
456	5507	518
457	5518	506
458	5530	494
459	5541	481
460	5552	469
461	5563	457
462	5574	445
463	5584	433
464	5596	421
465	5608	409
466	5619	397
467	5634	385
468	5644	373
469	5659	361
470	5673	349
471	5683	337
472	5693	325
473	5706	312
474	5717	300
475	5728	288
476	5739	276
477	5749	264
478	5760	252
479	5771	240
480	5782	228
481	5794	216
482	5805	204
483	5815	192
484	5825	180
485	5838	168
486	5849	156
487	5860	144
488	5871	132
489	5882	120
490	5893	108
491	5904	96
492	5915	83
493	5926	71
494	5937	59
495	5949	47
496	5959	35
497	5970	23
498	5984	11
499	5995	0
