iter	RMSE
156	342.1313384
157	341.7230484
158	340.977622
159	340.3849684
160	339.902136
161	339.3743371
162	338.6499138
163	338.2462225
164	337.7353893
165	336.7568729
166	336.2621708
167	335.225032
168	334.9365506
169	334.3522706
170	334.0944769
171	333.6013649
172	333.10293
173	332.6730017
174	331.4110869
175	330.9979152
176	330.4345152
177	330.2008158
178	329.5050827
179	328.7937148
180	327.9489502
181	326.661636
182	326.2168663
183	325.8803178
184	325.0536376
185	324.7011106
186	324.2191407
187	323.8310391
188	323.3611708
189	322.7052119
190	322.4496443
191	321.9736922
192	321.7376276
193	321.2394188
194	320.7545287
195	320.4160186
196	320.0983119
197	319.3927182
198	318.7324894
199	318.314756
200	318.0375003
201	317.7765577
202	317.2352347
203	316.920944
204	316.2470875
205	315.6492085
206	315.0504922
207	314.6391948
208	314.2278975
209	313.739007
210	313.3448147
211	313.0111729
212	312.5254339
213	312.1068067
214	311.4495668
215	311.2744356
216	310.7237666
217	310.2713055
218	310.1057902
219	309.721042
220	309.3741557
221	308.7390908
222	308.1864323
223	307.7424958
224	307.3392981
225	306.937625
226	306.6505224
227	306.0638647
228	305.6363777
229	305.0713695
230	304.4894632
231	304.3564352
232	304.0829635
233	303.4616611
234	303.1353296
235	302.7782876
236	302.4581111
237	302.1662857
238	301.9204684
239	301.6975262
240	301.4093816
241	300.7754095
242	300.4621397
243	300.1311305
244	299.5995243
245	299.3311301
246	299.0975472
247	298.6773965
248	298.1877485
249	297.9317049
250	297.7026968
251	297.4755447
252	297.0736471
253	296.8655377
254	296.7130086
255	296.2269264
256	295.9024524
257	295.1575316
258	294.6336019
259	294.3027453
260	293.8686327
261	293.2954176
262	293.0586037
263	292.8746387
264	292.4899677
265	292.2342503
266	291.5983219
267	291.3440775
268	290.7635245
269	290.5432325
270	290.040066
271	289.4468748
272	289.1295664
273	288.9673707
274	288.6425186
275	287.8069352
276	287.4489485
277	287.1925417
278	286.874391
279	286.0730069
280	285.7052045
281	285.2106523
282	284.5475537
283	284.3169629
284	283.8909688
285	283.6493301
286	283.4818828
287	283.1460772
288	282.8866686
289	282.7485634
290	282.561465
291	282.3238571
292	281.7522424
293	281.286451
294	281.0076914
295	280.6855237
296	280.3708259
297	280.0819414
298	279.846617
299	279.6566757
300	279.4726513
301	279.1510533
302	278.8312866
303	278.5633239
304	278.2604145
305	277.9622687
306	277.5092627
307	277.209962
308	276.8655989
309	276.5290487
310	276.2937662
311	275.8225841
312	275.5305835
313	275.30717
314	275.0568698
315	274.842482
316	274.5818385
317	274.3964124
318	274.2040226
319	274.0411512
320	273.8721903
321	273.7229853
322	273.4859393
323	273.0235083
324	272.8510952
325	272.7081272
326	272.4447803
327	272.1689765
328	271.5945778
329	271.327865
330	270.6704468
331	270.4901733
332	270.0548337
333	269.8147013
334	269.5880807
335	269.3477047
336	269.2193824
337	268.8377216
338	268.4113452
339	268.0029721
340	267.8134702
341	267.6210723
342	267.4641446
343	267.262649
344	266.8354232
345	266.4907989
346	266.3672255
347	266.2085829
348	266.1417369
349	265.8486214
350	265.4193864
351	264.9576995
352	264.7616112
353	264.3898063
354	264.2239535
355	263.9477028
356	263.7617949
357	263.6555197
358	263.4328425
359	263.1515343
360	262.8504684
361	262.1585756
362	261.9404973
363	261.7287342
364	261.5872532
365	261.3743333
366	261.0472636
367	260.7918623
368	260.4240496
369	260.1939734
370	259.9740726
371	259.8782618
372	259.7384461
373	259.4142996
374	259.2020099
375	258.8781244
376	258.6616939
377	258.4483304
378	258.3437914
379	257.9472494
380	257.6915095
381	257.4731874
382	257.2849236
383	257.110639
384	256.9444257
385	256.718182
386	256.5564659
387	256.1786548
388	255.9868547
389	255.5964021
390	255.3894553
391	255.1575367
392	254.7231657
393	254.4728281
394	254.3712489
395	254.1630726
396	253.9573185
397	253.5955576
398	253.435314
399	253.2682736
400	252.8802462
401	252.7077007
402	252.5391678
403	252.0474719
404	251.8976187
405	251.7228406
406	251.4188883
407	251.2321352
408	251.1316617
409	250.9175833
410	250.8194763
411	250.4438689
412	250.3333186
413	250.1849328
414	249.9891085
415	249.8369029
416	249.6252458
417	249.3153033
418	249.1457835
419	248.9341584
420	248.825671
421	248.5859291
422	248.4038328
423	248.1730897
424	247.9580774
425	247.7859994
426	247.6218628
427	247.5685732
428	247.3188109
429	247.0580173
430	246.828534
431	246.7146187
432	246.455813
433	246.274132
434	245.9817847
435	245.7930735
436	245.656128
437	245.4254296
438	245.1991406
439	244.9913558
440	244.7075696
441	244.5649647
442	244.4130529
443	244.2185327
444	243.9795669
445	243.7732498
446	243.6165003
447	243.4705683
448	243.2659852
449	242.9880227
450	242.8060188
451	242.5758264
452	242.4521052
453	242.1294607
454	241.9086608
455	241.5422851
456	241.3016077
457	241.2153307
458	240.83318
459	240.5976386
460	240.5267177
461	240.4123347
462	239.9866512
463	239.8753112
464	239.6470526
465	239.2995165
466	238.9993995
467	238.8647513
468	238.6339021
469	238.4338477
470	238.2764669
471	238.1572784
472	237.9920961
473	237.82765
474	237.7758491
475	237.4759368
476	237.235475
477	237.0538634
478	236.7545722
479	236.6252596
480	236.4576953
481	236.2901412
482	236.0978884
483	235.9382584
484	235.7458025
485	235.4305376
486	235.2804
487	235.0667109
488	234.7498838
489	234.643079
490	234.5369746
491	234.365212
492	234.1615084
493	234.0721838
494	233.8199856
495	233.5852862
496	233.4708141
497	233.386775
498	233.1907856
499	233.1203265
